# SOC,Actual SOC,Current,Calculated SOC ,Time,Time final
1,100,0,100,6901.024087,0
1,100,0,100,6902.024087,1
1,100,0,100,6903.024087,2
1,100,0,100,6904.024087,3
1,100,0,100,6905.024087,4
1,100,0,100,6906.024087,5
1,100,0,100,6907.024087,6
1,100,0,100,6908.024087,7
1,100,0,100,6909.024087,8
1,100,0,100,6910.024087,9
1,100,0,100,6911.024087,10
1,100,0,100,6912.024087,11
1,100,0,100,6913.024087,12
1,100,0,100,6914.024087,13
1,100,0,100,6915.024087,14
1,100,0,100,6916.024087,15
1,100,0,100,6917.024087,16
1,100,0,100,6918.024087,17
1,100,0,100,6919.024087,18
1,100,0,100,6920.024087,19
1,100,0,100,6921.024087,20
1,100,0,100,6922.024087,21
1,100,0,100,6923.024087,22
1,100,0,100,6924.024087,23
1,100,0,100,6925.024087,24
1,100,0,100,6926.024087,25
1,100,0,100,6927.024087,26
1,100,0,100,6928.024087,27
1,100,0,100,6929.024087,28
1,100,0,100,6930.024087,29
1,100,0,100,6931.024087,30
1,100,0,100,6932.024087,31
1,100,0,100,6933.024087,32
1,100,0,100,6934.024087,33
1,100,0,100,6935.024087,34
1,100,0,100,6936.024087,35
1,100,0,100,6937.024087,36
1,100,0,100,6938.024087,37
1,100,0,100,6939.024087,38
1,100,0,100,6940.024087,39
1,100,0,100,6941.024087,40
1,100,0,100,6942.024087,41
1,100,0,100,6943.024087,42
1,100,0,100,6944.024087,43
1,100,0,100,6945.024087,44
1,100,0,100,6946.024087,45
1,100,0,100,6947.024087,46
1,100,0,100,6948.024087,47
1,100,0,100,6949.024087,48
1,100,0,100,6950.024087,49
1,100,0,100,6951.024087,50
1,100,0,100,6952.024087,51
1,100,0,100,6953.024087,52
1,100,0,100,6954.024087,53
1,100,0,100,6955.024087,54
1,100,0,100,6956.024087,55
1,100,0,100,6957.024087,56
1,100,0,100,6958.024087,57
1,100,0,100,6959.024087,58
1,100,0,100,6960.024087,59
1,100,0,100,6961.024087,60
1,100,0,100,6962.024087,61
1,100,0,100,6963.024087,62
1,100,0,100,6964.024087,63
1,100,0,100,6965.024087,64
1,100,0,100,6966.024087,65
1,100,0,100,6967.024087,66
1,100,0,100,6968.024087,67
1,100,0,100,6969.024087,68
1,100,0,100,6970.024087,69
1,100,0,100,6971.024087,70
1,100,0,100,6972.024087,71
1,100,0,100,6973.024087,72
1,100,0,100,6974.024087,73
1,100,0,100,6975.024087,74
1,100,0,100,6976.024087,75
1,100,0,100,6977.024087,76
1,100,0,100,6978.024087,77
1,100,0,100,6979.024087,78
1,100,0,100,6980.024087,79
1,100,0,100,6981.024087,80
1,100,0,100,6982.024087,81
1,100,0,100,6983.024087,82
1,100,0,100,6984.024087,83
1,100,0,100,6985.024087,84
1,100,0,100,6986.024087,85
1,100,0,100,6987.024087,86
1,100,0,100,6988.024087,87
1,100,0,100,6989.024087,88
1,100,0,100,6990.024087,89
1,100,0,100,6991.024087,90
1,100,0,100,6992.024087,91
1,100,0,100,6993.024087,92
1,100,0,100,6994.024087,93
1,100,0,100,6995.024087,94
1,100,0,100,6996.024087,95
1,100,0,100,6997.024087,96
1,100,0,100,6998.024087,97
1,100,0,100,6999.024087,98
1,100,0,100,7000.024087,99
1,100,0,100,7001.024087,100
1,100,0,100,7002.024087,101
1,100,0,100,7003.024087,102
1,100,0,100,7004.024087,103
1,100,0,100,7005.024087,104
1,100,0,100,7006.024087,105
1,100,0,100,7007.024087,106
1,100,0,100,7008.024087,107
1,100,0,100,7009.024087,108
1,100,0,100,7010.024087,109
1,100,0,100,7011.024087,110
1,100,0,100,7012.024087,111
1,100,0,100,7013.024087,112
1,100,0,100,7014.024087,113
1,100,0,100,7015.024087,114
1,100,0,100,7016.024087,115
1,100,0,100,7017.024087,116
1,100,0,100,7018.024087,117
1,100,0,100,7019.024087,118
1,100,0,100,7020.024087,119
1,100,0,100,7021.024087,120
1,100,0,100,7022.024087,121
1,100,0,100,7023.024087,122
1,100,0,100,7024.024087,123
1,100,0,100,7025.024087,124
1,100,0,100,7026.024087,125
1,100,0,100,7027.024087,126
1,100,0,100,7028.024087,127
1,100,0,100,7029.024087,128
1,100,0,100,7030.024087,129
1,100,0,100,7031.024087,130
1,100,0,100,7032.024087,131
1,100,0,100,7033.024087,132
1,100,0,100,7034.024087,133
1,100,0,100,7035.024087,134
1,100,0,100,7036.024087,135
1,100,0,100,7037.024087,136
1,100,0,100,7038.024087,137
1,100,0,100,7039.024087,138
1,100,0,100,7040.024087,139
1,100,0,100,7041.024087,140
1,100,0,100,7042.024087,141
1,100,0,100,7043.024087,142
1,100,0,100,7044.024087,143
1,100,0,100,7045.024087,144
1,100,0,100,7046.024087,145
1,100,0,100,7047.024087,146
1,100,0,100,7048.024087,147
1,100,0,100,7049.024087,148
1,100,0,100,7050.024087,149
1,100,0,100,7051.024087,150
1,100,0,100,7052.024087,151
1,100,0,100,7053.024087,152
1,100,0,100,7054.024087,153
1,100,0,100,7055.024087,154
1,100,0,100,7056.024087,155
1,100,0,100,7057.024087,156
1,100,0,100,7058.024087,157
1,100,0,100,7059.024087,158
1,100,0,100,7060.024087,159
1,100,0,100,7061.024087,160
1,100,0,100,7062.024087,161
1,100,0,100,7063.024087,162
1,100,0,100,7064.024087,163
1,100,0,100,7065.024087,164
1,100,0,100,7066.024087,165
1,100,0,100,7067.024087,166
1,100,0,100,7068.024087,167
1,100,0,100,7069.024087,168
1,100,0,100,7070.024087,169
1,100,0,100,7071.024087,170
1,100,0,100,7072.024087,171
1,100,0,100,7073.024087,172
1,100,0,100,7074.024087,173
1,100,0,100,7075.024087,174
1,100,0,100,7076.024087,175
1,100,0,100,7077.024087,176
1,100,0,100,7078.024087,177
1,100,0,100,7079.024087,178
1,100,0,100,7080.024087,179
1,100,0,100,7081.024087,180
1,100,0,100,7082.024087,181
1,100,0,100,7083.024087,182
1,100,0,100,7084.024087,183
